x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-46.901,-0.29843,-0.24055,-0.19908,-0.15668,-0.11905,-0.0897,-0.0633,-0.04398,-0.02626,-0.01687,-0.01248
-46.341,-0.29593,-0.23839,-0.19751,-0.15566,-0.1184,-0.08925,-0.06307,-0.04391,-0.02615,-0.01686,-0.01248
-45.782,-0.29341,-0.23622,-0.19592,-0.15462,-0.11774,-0.08879,-0.06282,-0.04384,-0.02604,-0.01684,-0.01249
-45.223,-0.29087,-0.23404,-0.19431,-0.15357,-0.11708,-0.08832,-0.06258,-0.04377,-0.02592,-0.01684,-0.01249
-44.663,-0.28831,-0.23185,-0.19268,-0.15249,-0.1164,-0.08785,-0.06233,-0.04369,-0.02581,-0.01684,-0.0125
-44.104,-0.28574,-0.22965,-0.19103,-0.1514,-0.11571,-0.08736,-0.06208,-0.04361,-0.0257,-0.01684,-0.0125
-43.545,-0.28314,-0.22745,-0.18936,-0.1503,-0.11502,-0.08686,-0.06183,-0.04353,-0.02559,-0.01685,-0.01251
-42.985,-0.28053,-0.22524,-0.18768,-0.14917,-0.11432,-0.08635,-0.06157,-0.04345,-0.02548,-0.01686,-0.01251
-42.426,-0.27788,-0.22302,-0.18597,-0.14803,-0.1136,-0.08584,-0.06131,-0.04336,-0.02537,-0.01688,-0.01252
-41.867,-0.27522,-0.22079,-0.18426,-0.14687,-0.11288,-0.08531,-0.06105,-0.04327,-0.02527,-0.0169,-0.01252
-41.307,-0.27252,-0.21856,-0.18253,-0.14569,-0.11215,-0.08477,-0.06078,-0.04318,-0.02516,-0.01693,-0.01253
-40.748,-0.2698,-0.21632,-0.18079,-0.14449,-0.1114,-0.08423,-0.06051,-0.04308,-0.02506,-0.01696,-0.01253
-40.189,-0.26704,-0.21407,-0.17904,-0.14328,-0.11064,-0.08367,-0.06024,-0.04298,-0.02496,-0.01699,-0.01254
-39.629,-0.26424,-0.21182,-0.17728,-0.14205,-0.10987,-0.0831,-0.05995,-0.04288,-0.02487,-0.01702,-0.01254
-39.07,-0.2614,-0.20955,-0.17552,-0.1408,-0.10909,-0.08252,-0.05967,-0.04277,-0.02477,-0.01705,-0.01254
-38.511,-0.25853,-0.20728,-0.17376,-0.13953,-0.10829,-0.08193,-0.05937,-0.04265,-0.02469,-0.01709,-0.01254
-37.951,-0.25561,-0.20501,-0.17198,-0.13824,-0.10748,-0.08133,-0.05907,-0.04253,-0.0246,-0.01713,-0.01255
-37.392,-0.25264,-0.20272,-0.17021,-0.13694,-0.10666,-0.08072,-0.05876,-0.0424,-0.02452,-0.01717,-0.01255
-36.833,-0.24963,-0.20043,-0.16843,-0.13562,-0.10582,-0.0801,-0.05845,-0.04227,-0.02444,-0.01721,-0.01255
-36.273,-0.24657,-0.19812,-0.16664,-0.13428,-0.10497,-0.07947,-0.05812,-0.04212,-0.02437,-0.01724,-0.01255
-35.714,-0.24345,-0.19581,-0.16484,-0.13292,-0.1041,-0.07882,-0.05779,-0.04197,-0.0243,-0.01728,-0.01255
-35.155,-0.24028,-0.19348,-0.16304,-0.13155,-0.10321,-0.07817,-0.05745,-0.04181,-0.02423,-0.01732,-0.01254
-34.595,-0.23706,-0.19115,-0.16123,-0.13015,-0.10231,-0.0775,-0.05709,-0.04164,-0.02418,-0.01736,-0.01254
-34.036,-0.23379,-0.18881,-0.15942,-0.12874,-0.10139,-0.07682,-0.05673,-0.04146,-0.02412,-0.01739,-0.01254
-33.477,-0.23045,-0.18646,-0.15759,-0.12731,-0.10045,-0.07613,-0.05636,-0.04127,-0.02408,-0.01742,-0.01253
-32.917,-0.22707,-0.18409,-0.15576,-0.12587,-0.0995,-0.07542,-0.05597,-0.04107,-0.02403,-0.01745,-0.01253
